niche,count
home_goods_store,31
barbecue_restaurant,30
baseball_field,30
car_wash,30
pediatrician,30
tree_services,30
atms,29
auto_detailing,29
burger_restaurant,29
community_center,29
engineering_services,29
travel_services,29
wine_tasting_room,29
business,28
equestrian_facility,28
fast_food_restaurant,28
home_decor,28
library,28
orthodontist,28
psychotherapist,28
pub,28
bar_and_grill_restaurant,27
desserts,27
donuts,27
event_photography,27
storage_facility,27
appliance_store,26
bookstore,26
carpet_store,26
emissions_inspection,26
employment_agencies,26
metal_fabricator,26
pest_control_service,26
tours,26
web_designer,26
architectural_designer,25
breakfast_and_brunch_restaurant,25
carpenter,25
garbage_collection_service,25
indian_restaurant,25
mobile_phone_store,25
musical_instrument_store,25
gardener,24
music_production,24
office_equipment,24
pilates_studio,24
psychologist,24
real_estate_service,24
sandwich_shop,24
youth_organizations,24
fire_protection_service,23
graphic_designer,23
smoothie_juice_bar,23
tire_shop,23
toy_store,23
automotive_parts_and_accessories,22
brake_service_and_repair,22
bridal_shop,22
business_manufacturing_and_supply,22
courier_and_delivery_services,22
french_restaurant,22
medical_supply,22
middle_school,22
music_venue,22
organization,22
topic_concert_venue,22
used_vintage_and_consignment,22
business_management_services,21
cocktail_bar,21
energy_equipment_and_solution,21
food_truck,21
masonry_concrete,21
swimming_pool,21
animal_shelter,20
attractions_and_activities,20
dry_cleaning,20
fitness_trainer,20
museum,20
surgeon,20
tax_services,20
bicycle_shop,19
builders,19
cannabis_dispensary,19
diner,19
fence_and_gate_sales_service,19
funeral_services_and_cemeteries,19
gastroenterologist,19
information_technology_company,19
lounge,19
music_and_dvd_store,19
pediatric_dentist,19
personal_injury_law,19
steakhouse,19
tire_dealer_and_repair,19
wills_trusts_and_probate,19
auto_parts_and_supply_store,18
butcher_shop,18
candy_store,18
carpet_cleaning,18
countertop_installation,18
discount_store,18
flooring_store,18
golf_course,18
japanese_restaurant,18
pet_boarding,18
towing_service,18
car_window_tinting,17
environmental_conservation_organization,17
garage_door_service,17
life_coach,17
sign_making,17
software_development,17
specialty_grocery_store,17
sports_club_and_league,17
tobacco_shop,17
tutoring_center,17
urologist,17
weight_loss_center,17
bail_bonds_service,16
business_to_business,16
campus_building,16
catholic_church,16
childrens_clothing_store,16
dog_trainer,16
florist,16
lumber_store,16
marriage_or_relationship_counselor,16
parking,16
podiatrist,16
pool_cleaning,16
private_school,16
theatre,16
transportation,16
vietnamese_restaurant,16
wine_tours,16
art_school,15
auto_glass_service,15
cinema,15
damage_restoration,15
distillery,15
dog_park,15
family_practice,15
installment_loans,15
psychiatrist,15
shipping_center,15
supermarket,15
walk_in_clinic,15
wedding_planning,15
agricultural_service,14
auto_customization,14
broadcasting_media_production,14
building_contractor,14
home_developer,14
horse_boarding,14
janitorial_services,14
key_and_locksmith,14
land_surveying,14
machine_shop,14
motorcycle_dealer,14
race_track,14
radio_station,14
tanning_salon,14
town_hall,14
travel_agents,14
waxing,14
airport,13
amusement_park,13
auto_loan_provider,13
bankruptcy_law,13
business_equipment_and_supply,13
business_law,13
charity_organization,13
dermatologist,13
dive_bar,13
fashion_accessories_store,13
fire_and_water_damage_restoration,13
health_food_store,13
hearing_aids,13
history_museum,13
hobby_shop,13
hospice,13
hot_tubs_and_pools,13
lodge,13
outdoor_gear,13
public_school,13
rv_park,13
screen_printing_t_shirt_printing,13
train_station,13
window_treatment_store,13
abuse_and_addiction_treatment,12
agriculture,12
asian_fusion_restaurant,12
automotive_services_and_repair,12
chimney_sweep,12
christmas_trees,12
computer_store,12
condominium,12
dairy_farm,12
department_store,12
estate_planning_law,12
food_delivery_service,12
hair_removal,12
kitchen_supply_store,12
makeup_artist,12
meditation_center,12
party_supply,12
rental_services,12
session_photography,12
vacation_rental_agents,12
wholesale_store,12
asian_restaurant,11
auto_restoration_services,11
cabinet_sales_service,11
cannabis_clinic,11
chocolatier,11
driving_school,11
ear_nose_and_throat,11
fruits_and_vegetables,11
homeless_shelter,11
horse_trainer,11
motorcycle_repair,11
physician_assistant,11
psychic,11
specialty_school,11
taco_restaurant,11
tea_room,11
vocational_and_technical_school,11
wine_wholesaler,11
armed_forces_branch,10
automotive_dealer,10
bagel_shop,10
baptist_church,10
central_government_office,10
child_care_and_day_care,10
comic_books_store,10
e_cigarette_store,10
food,10
food_beverage_service_distribution,10
forestry_service,10
kitchen_and_bath,10
laboratory_testing,10
laundry_services,10
mens_clothing_store,10
metal_supplier,10
nature_reserve,10
neurologist,10
oncologist,10
paving_contractor,10
peruvian_restaurant,10
radiologist,10
recycling_center,10
security_systems,10
septic_services,10
sports_and_fitness_instruction,10
wildlife_sanctuary,10
alternative_medicine,9
ambulance_and_ems_services,9
appraisal_services,9
banks,9
beer_wine_and_spirits,9
bus_station,9
diagnostic_imaging,9
disability_services_and_support_organization,9
fabric_store,9
hair_stylist,9
handyman,9
inn,9
labor_union,9
landscape_architect,9
latin_american_restaurant,9
livestock_breeder,9
medical_service_organizations,9
mobile_phone_repair,9
music_school,9
national_park,9
notary_public,9
nurse_practitioner,9
nutritionist,9
office_cleaning,9
online_shop,9
pet_sitting,9
playground,9
private_association,9
solar_installation,9
state_park,9
theatrical_productions,9
tiling,9
transmission_repair,9
vegan_restaurant,9
video_game_store,9
warehouses,9
water_supplier,9
appliance_repair_service,8
architect,8
auction_house,8
buddhist_temple,8
car_rental_agency,8
clinical_laboratories,8
commercial_real_estate,8
cosmetic_surgeon,8
costume_store,8
credit_union,8
dance_club,8
door_sales_service,8
e_commerce_service,8
eat_and_drink,8
electrical_supply_store,8
ev_charging_station,8
eyewear_and_optician,8
family_counselor,8
flooring_contractors,8
gastropub,8
glass_and_mirror_sales_service,8
home_and_garden,8
home_inspector,8
internet_marketing_service,8
lighting_store,8
lingerie_store,8
mediterranean_restaurant,8
oral_surgeon,8
party_equipment_rental,8
political_organization,8
private_investigation,8
rental_service,8
sunglasses_store,8
telecommunications,8
test_preparation,8
vitamins_and_supplements,8
animal_rescue_service,7
audio_visual_equipment_store,7
audiologist,7
audiovisual_equipment_rental,7
auditorium,7
beauty_product_supplier,7
beer_bar,7
beverage_store,7
boxing_class,7
business_consulting,7
cheese_shop,7
civil_engineers,7
cleaning_services,7
cooking_school,7
cottage,7
courthouse,7
deck_and_railing_sales_service,7
dialysis_clinic,7
educational_services,7
employment_law,7
environmental_conservation_and_ecological_organizations,7
event_technology_service,7
excavation_service,7
fair,7
horse_riding,7
infectious_disease_specialist,7
life_insurance,7
maternity_centers,7
party_and_event_planning,7
pentecostal_church,7
sightseeing_tour_agency,7
sports_bar,7
surgical_center,7
taxi_service,7
truck_repair,7
urgent_care_clinic,7
vegetarian_restaurant,7
windows_installation,7
altering_and_remodeling_contractor,6
amateur_sports_team,6
arcade,6
business_advertising,6
business_to_business_services,6
car_stereo_store,6
casino,6
criminal_defense_law,6
diagnostic_services,6
educational_camp,6
endocrinologist,6
environmental_and_ecological_services_for_businesses,6
farming_services,6
furniture_assembly,6
greek_restaurant,6
gun_and_ammo,6
horseback_riding_service,6
housing_authorities,6
hunting_and_fishing_supplies,6
machine_and_tool_rentals,6
masonry_contractors,6
motel,6
ophthalmologist,6
paint_store,6
performing_arts,6
plastic_surgeon,6
pop_up_shop,6
public_plaza,6
sewing_and_alterations,6
stadium_arena,6
swimming_instructor,6
t_shirt_store,6
telecommunications_company,6
topic_publisher,6
truck_rentals,6
water_treatment_equipment_and_services,6
welding_supply_store,6
window_supplier,6
air_duct_cleaning_service,5
asian_grocery_store,5
bike_rentals,5
boot_camp,5
cemeteries,5
check_cashing_payday_loans,5
chicken_restaurant,5
comfort_food_restaurant,5
coworking_space,5
cpr_classes,5
