niche,count
cards_and_stationery_store,1
cheese_shop,1
chemical_plant,1
christmas_trees,1
cleaning_services,1
comic_books_store,1
commercial_real_estate,1
community_museum,1
construction_management,1
convents_and_monasteries,1
cooking_school,1
corporate_entertainment_services,1
cosmetology_school,1
costume_store,1
craft_shop,1
crisis_intervention_services,1
cycling_classes,1
damage_restoration,1
dance_club,1
dance_wear,1
dermatologist,1
diagnostic_services,1
distribution_services,1
dj_service,1
driving_school,1
drugstore,1
drywall_services,1
emergency_medicine,1
emergency_roadside_service,1
emergency_room,1
emissions_inspection,1
employment_law,1
endodontist,1
environmental_and_ecological_services_for_businesses,1
escape_rooms,1
estate_planning_law,1
event_technology_service,1
fertility,1
fingerprinting_service,1
fireplace_service,1
fitness_trainer,1
flooring_store,1
florist,1
food_and_beverage_exporter,1
foot_care,1
french_restaurant,1
frozen_yoghurt_shop,1
furniture_rental_service,1
glass_blowing,1
government_services,1
guest_house,1
guitar_store,1
gutter_service,1
hair_removal,1
hair_supply_stores,1
handicraft_shop,1
health_department,1
health_food_restaurant,1
health_insurance_office,1
health_spa,1
himalayan_nepalese_restaurant,1
hindu_temple,1
home_automation,1
home_decor,1
home_developer,1
home_inspector,1
home_security,1
horse_riding,1
horseback_riding_service,1
hospice,1
hypnosis_hypnotherapy,1
immigration_law,1
information_technology_company,1
installment_loans,1
international_grocery_store,1
jail_and_prison,1
jazz_and_blues,1
jewelry_and_watches_manufacturer,1
junkyard,1
kitchen_and_bath,1
kitchen_supply_store,1
labor_union,1
landscape_architect,1
latin_american_restaurant,1
laundry_services,1
linen,1
local_and_state_government_offices,1
logging_contractor,1
mediterranean_restaurant,1
metal_supplier,1
miniature_golf_course,1
mining,1
mobile_home_dealer,1
money_transfer_services,1
motorcycle_manufacturer,1
mountain_bike_trails,1
movie_television_studio,1
national_park,1
neurologist,1
nutritionist,1
office_cleaning,1
olive_oil,1
online_shop,1
packing_services,1
paddleboard_rental,1
paintball,1
pancake_house,1
paralegal_services,1
paving_contractor,1
pediatric_dentist,1
performing_arts,1
persian_iranian_restaurant,1
pet_adoption,1
photographer,1
photography_store_and_services,1
pool_and_billiards,1
pretzels,1
private_association,1
prosthodontist,1
psychologist,1
psychotherapist,1
public_health_clinic,1
public_market,1
public_relations,1
pulmonologist,1
rafting_kayaking_area,1
real_estate_service,1
